05,FONTE,TÍTULO,CATEGORIA,MUNICÍPIO,BAIRRO,REGIÃO - ZONA,LINK,OPERADOR,Coluna 1,Coluna 2
19/02/2025,Zelo,Manifestação na Rua Silva Vale protesta contra a falta de água,Atos programados (manifestações),Rio de Janeiro,Cavalcanti,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
19/02/2025,Whatsapp Rj News,Operação policial continua no Complexo do Chapadão,Operações policiais,Rio de Janeiro,Ricardo de Albuquerque,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
19/02/2025,Whatsapp ,"Muitos disparos nas imediações da Estrada do Sertão, Anil, Zona Oeste",Tiroteio,Rio de Janeiro,Anil,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
19/02/2025,App VIU,Disparos reportados nas imediações da Praça Seca. Evite transitar na área até que a situação seja normalizada.,Tiroteio,Rio de Janeiro,Praça Seca,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,Polícia Militar realiza operação nas imediações da Comunidade do Anaia em São Gonçalo. A operação está ocorrendo sem relatos de disparos até agora. Evite essa região.,Operações policiais,São Gonçalo,Sacramento,Região Metropolitana do Rio de Janeiro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,"Moradores informam disparos nas proximidades da Rua Jacuí, em Brás de Pina. Se for possível, afasta-se desse local para sua segurança.",Tiroteio,Rio de Janeiro,Brás de Pina,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,"Moradores relatam tiros nas imediações da Rua Laurindo Filho, em Cavalcanti. Evite passar pelo local.",Tiroteio,Rio de Janeiro,Cavalcanti,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,"Disparos relatados nas proximidades da Rua Gregório de Matos, em Vigário Geral. Evite a região",Atos de terrorismo,Rio de Janeiro,Vigário Geral,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,"Diversos agentes da PM foram vistos nas imediações da R. Araticum, no Anil, Jacarepaguá. Opte por outras rotas",Operações policiais,Rio de Janeiro,Anil,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,"Tiros foram disparados nas imediações do Bairro Miguel Couto, em Nova Iguaçu. Evite a região.",Tiroteio,Nova Iguaçu,Miguel Couto,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,"Moradores informam disparos nas proximidades do bairro Parque Ambaí, em Nova Iguaçu. Evite a região.",Tiroteio,Nova Iguaçu,Parque Ambai,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,"Muitos disparos foram ouvidos nas proximidades do Cantão, bairro Parque Rosa do Sertão, em Nova Iguaçu. Evite a região.",Tiroteio,Nova Iguaçu,Nova Iguaçu,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
19/02/2025,App VIU,"Moradores relatam tiros na Rua Luí Vargas, próximo Rua Paquequer, no Morro do Urubu, em Piedade. Evite a região",Tiroteio,Rio de Janeiro,Piedade,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,X,"A Avenida Rodrigo Otávio, na Gávea, passa por interdição de uma faixa de rolamento de forma alternada, nos dois sentidos, entre 22h e 5h do dia subsequente, até o dia 31 de março. Mais informações:        ",Interdições programadas,Rio de Janeiro,Gávea,Centro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,X,"A Avenida Rodrigo Otávio, na Gávea, passa por interdição de uma faixa de rolamento de forma alternada, nos dois sentidos, entre 22h e 5h do dia subsequente, até o dia 31 de março. Mais informações:",Interdições programadas,Rio de Janeiro,Joá,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
